,predicate,subject,object,sub,pred,obj
18189,11992,11727,1017,11727,11992,1017
18190,11992,5836,516,5836,11992,516
18191,11992,3183,1233,3183,11992,1233
18192,11992,4048,204,4048,11992,204
18193,11992,7728,1087,7728,11992,1087
18194,11992,7872,772,7872,11992,772
18195,11992,11938,718,11938,11992,718
18196,11992,2799,773,2799,11992,773
18197,11992,8835,1348,8835,11992,1348
18198,11992,5204,512,5204,11992,512
18199,11992,4714,17,4714,11992,17
18200,11992,4403,459,4403,11992,459
18201,11992,7983,174,7983,11992,174
18202,11992,7212,515,7212,11992,515
18203,11992,2220,1475,2220,11992,1475
18204,11992,9202,1247,9202,11992,1247
18205,11992,5415,145,5415,11992,145
18206,11992,11647,947,11647,11992,947
18207,11992,9478,1314,9478,11992,1314
18208,11992,3280,230,3280,11992,230
18209,11992,1939,938,1939,11992,938
18210,11992,3543,866,3543,11992,866
18211,11992,3629,312,3629,11992,312
18212,11992,1885,751,1885,11992,751
18213,11992,2663,516,2663,11992,516
18214,11992,2387,1299,2387,11992,1299
18215,11992,3123,1323,3123,11992,1323
18216,11992,8586,1210,8586,11992,1210
18217,11992,7887,328,7887,11992,328
18218,11992,7569,643,7569,11992,643
18219,11992,2327,1319,2327,11992,1319
18220,11992,7589,891,7589,11992,891
18221,11992,10246,115,10246,11992,115
18222,11992,10506,194,10506,11992,194
18223,11992,9445,491,9445,11992,491
18224,11992,5789,1441,5789,11992,1441
18225,11992,4154,212,4154,11992,212
18226,11992,2691,1120,2691,11992,1120
18227,11992,11081,1039,11081,11992,1039
18228,11992,8969,1037,8969,11992,1037
18229,11992,9112,107,9112,11992,107
18230,11992,6195,37,6195,11992,37
18231,11992,3802,414,3802,11992,414
18232,11992,4527,63,4527,11992,63
18233,11992,9528,114,9528,11992,114
18234,11992,10667,118,10667,11992,118
18235,11992,11300,276,11300,11992,276
18236,11992,3578,172,3578,11992,172
18237,11992,8224,1098,8224,11992,1098
18238,11992,5062,1265,5062,11992,1265
18239,11992,3026,568,3026,11992,568
18240,11992,9594,41,9594,11992,41
18241,11992,3572,1354,3572,11992,1354
18242,11992,1559,764,1559,11992,764
18243,11992,5949,177,5949,11992,177
18244,11992,5894,1211,5894,11992,1211
18245,11992,6381,1098,6381,11992,1098
18246,11992,9541,175,9541,11992,175
18247,11992,3616,1015,3616,11992,1015
18248,11992,10113,502,10113,11992,502
18249,11992,6968,1392,6968,11992,1392
18250,11992,8562,1413,8562,11992,1413
18251,11992,4853,1342,4853,11992,1342
18252,11992,7914,1413,7914,11992,1413
18253,11992,2222,506,2222,11992,506
18254,11992,2272,116,2272,11992,116
18255,11992,9144,837,9144,11992,837
18256,11992,2495,988,2495,11992,988
18257,11992,5581,461,5581,11992,461
18258,11992,11610,1236,11610,11992,1236
18259,11992,9135,634,9135,11992,634
18260,11992,7411,782,7411,11992,782
18261,11992,3577,937,3577,11992,937
18262,11992,10556,747,10556,11992,747
