,predicate,subject,object,sub,pred,obj
23359,3091,11990,3912,3912,3091,11990
23360,9338,11990,8165,8165,9338,11990
23361,6861,11990,3409,3409,6861,11990
23362,3061,11990,7693,7693,3061,11990
23363,11698,11990,1764,1764,11698,11990
23364,9728,11990,11584,11584,9728,11990
23365,7651,11990,5177,5177,7651,11990
23366,4663,11990,1608,1608,4663,11990
23367,5733,11990,7234,7234,5733,11990
23368,5304,11990,10785,10785,5304,11990
23369,3747,11990,7716,7716,3747,11990
23370,6389,11990,5165,5165,6389,11990
23371,5557,11990,10496,10496,5557,11990
23372,2607,11990,9392,9392,2607,11990
23373,7049,11990,1869,1869,7049,11990
23374,2680,11990,3868,3868,2680,11990
23375,11091,11990,7624,7624,11091,11990
23376,2398,11990,2865,2865,2398,11990
23377,10085,11990,7265,7265,10085,11990
23378,3347,11990,4683,4683,3347,11990
23379,11330,11990,7359,7359,11330,11990
23380,8017,11990,4901,4901,8017,11990
23381,11365,11990,6148,6148,11365,11990
23382,2288,11990,3339,3339,2288,11990
23383,10634,11990,3144,3144,10634,11990
23384,2522,11990,10901,10901,2522,11990
23385,11032,11990,3820,3820,11032,11990
23386,3252,11990,9037,9037,3252,11990
23387,8780,11990,10820,10820,8780,11990
23388,7476,11990,8906,8906,7476,11990
23389,2587,11990,11975,11975,2587,11990
23390,4607,11990,9825,9825,4607,11990
23391,8877,11990,2757,2757,8877,11990
23392,2749,11990,3861,3861,2749,11990
23393,9257,11990,3533,3533,9257,11990
23394,5652,11990,2654,2654,5652,11990
23395,9357,11990,4881,4881,9357,11990
23396,8325,11990,9518,9518,8325,11990
23397,9469,11990,2338,2338,9469,11990
23398,10324,11990,1599,1599,10324,11990
23399,1945,11990,7705,7705,1945,11990
23400,7466,11990,1722,1722,7466,11990
23401,2836,11990,8256,8256,2836,11990
23402,5096,11990,7903,7903,5096,11990
23403,11822,11990,9377,9377,11822,11990
23404,4945,11990,6503,6503,4945,11990
23405,3769,11990,8559,8559,3769,11990
23406,5511,11990,2682,2682,5511,11990
23407,6848,11990,4749,4749,6848,11990
23408,7766,11990,5237,5237,7766,11990
23409,9137,11990,5654,5654,9137,11990
23410,9428,11990,11486,11486,9428,11990
23411,8405,11990,7060,7060,8405,11990
23412,9446,11990,6531,6531,9446,11990
23413,10470,11990,4213,4213,10470,11990
23414,6348,11990,10308,10308,6348,11990
23415,9992,11990,10304,10304,9992,11990
23416,7072,11990,5818,5818,7072,11990
23417,9410,11990,9476,9476,9410,11990
23418,10225,11990,5171,5171,10225,11990
23419,3381,11990,9651,9651,3381,11990
23420,4867,11990,6364,6364,4867,11990
23421,11243,11990,6989,6989,11243,11990
23422,4592,11990,3299,3299,4592,11990
23423,3146,11990,7911,7911,3146,11990
23424,2265,11990,5273,5273,2265,11990
23425,8667,11990,2669,2669,8667,11990
23426,8487,11990,6936,6936,8487,11990
23427,2481,11990,4907,4907,2481,11990
23428,7356,11990,1632,1632,7356,11990
23429,3362,11990,6802,6802,3362,11990
